epoch,mse,rmse,mae,mape,dtw_cru,dtw_norm,frechet_xy,edr_x,edr_y,pearson_x,pearson_y,lag_x_ms,lag_y_ms
1,0.08376626586856308,0.2894240243458775,0.08775947551363701,48.673915276775894,2.9284745328029946,0.010610414973923893,0.018661452080262313,106.0,68.0,0.0,0.0,1300.0,2150.0
2,0.24757881411665697,0.4975729234159119,0.28282386528747055,174.58876096876742,21.51820588752579,0.07796451408523837,0.15980370821554907,176.0,166.0,0.0,0.0,1750.0,1900.0
3,0.3961518558112374,0.6294059546995384,0.34261765760948837,60956.135850458566,31.522463635325,0.09789584979914596,0.23623652522123953,197.0,153.0,0.0,0.0,3300.0,4050.0
4,0.26000915745926834,0.5099109309078089,0.25301449678947047,274.442719055451,33.49717039715565,0.129833993787425,0.23071238456284673,87.0,182.0,-0.8799389739112505,0.5300694797012534,-6850.0,1550.0
5,0.2616932390089293,0.5115596143255733,0.2567107400509084,108.59822753729927,21.396378653065298,0.06924394386105275,0.1769308052062054,135.0,154.0,0.0,0.0,2950.0,2950.0
6,0.17266287225511606,0.4155272220386001,0.16289687180679918,128.1435952832582,2.758622242969131,0.009645532318073885,0.025641602698672654,107.0,79.0,0.0,0.0,1900.0,2100.0
7,0.1288880856052091,0.35900986839529786,0.15678394821993075,51.846788659973164,16.574640368320804,0.06499858967968943,0.15041772728874475,136.0,168.0,0.6570700234658997,0.7454107506243695,700.0,900.0
8,0.23029986199336402,0.4798956782399317,0.2540233320560895,90.31135422175748,28.066726115831898,0.09450076133276733,0.18047502198139562,211.0,166.0,0.3976243001373014,0.44306678567530655,3250.0,3450.0
9,0.42015668903939146,0.6481949467863749,0.3326836539839081,136.3625317083821,20.434992896208197,0.084442119405819,0.1654396679331252,202.0,77.0,0.8859709886907365,0.819175189890683,450.0,750.0
10,0.23252087737451255,0.48220418639256185,0.23313529775442257,526.3936319455602,5.9397311581617664,0.02034154506219783,0.06434335601330704,126.0,126.0,0.2594967372521328,0.0199491050123387,2650.0,2750.0
11,0.19245466364547476,0.4386965507562998,0.21855106263434465,163.7894176343831,17.70521765816178,0.07025880023080071,0.15619193832262993,171.0,57.0,0.0,0.0,950.0,1100.0
12,0.19188659126560467,0.4380486174679754,0.21182469764327114,163.45408678670992,22.847573258463346,0.10109545689585551,0.2276103298431635,169.0,89.0,0.9813747108387764,0.8766997389731128,0.0,-100.0
13,0.10892709475609139,0.33004105010754553,0.14825729462804405,149.9801187668135,21.843288087621357,0.08337132857870747,0.16071502643152044,176.0,120.0,0.7306468581238469,0.5827970138680164,1200.0,1650.0
