metric,scenario,n,mean,std,median,iqr_low,iqr_high,ci_low,ci_high
epoch,Nominal,1000,500.5,288.8194360957494,500.5,250.75,750.25,482.5987858884749,518.4012141115252
epoch,Atraso,1000,500.5,288.8194360957494,500.5,250.75,750.25,482.5987858884749,518.4012141115252
epoch,Modelo_perturbado,1000,500.5,288.8194360957494,500.5,250.75,750.25,482.5987858884749,518.4012141115252
mse,Nominal,1000,0.11441072418678257,0.11478882903660319,0.0676386173626303,0.01045869747301575,0.19822550429967306,0.10729603885267555,0.12152540952088958
mse,Atraso,1000,0.15559172451369466,0.102490945906058,0.15022900156728952,0.06621202969063265,0.22169827497158615,0.1492392698729729,0.16194417915441642
mse,Modelo_perturbado,1000,0.142014385214689,0.08308585591886081,0.12985046622006796,0.08625365656530734,0.1850548986683693,0.13686467051214463,0.1471640999172334
rmse,Nominal,1000,0.2813746599999455,0.18781453403795342,0.26007425354497365,0.10226776334740181,0.4452252124423694,0.26973379457717966,0.2930155254227113
rmse,Atraso,1000,0.36944145670848105,0.13828903946895957,0.3875937039977825,0.25731683527803567,0.47084843569215584,0.3608702132413679,0.3780127001755942
rmse,Modelo_perturbado,1000,0.35890014687203636,0.11497081402685526,0.36034770049061393,0.2936897262937257,0.4301798588576012,0.3517741819913738,0.36602611175269895
mae,Nominal,1000,0.12887129722179072,0.09772782016833127,0.1083845157137263,0.033499944967783926,0.21035886876007262,0.12281406417288349,0.13492853027069796
mae,Atraso,1000,0.17583166526617083,0.08438397683095632,0.17666466558999455,0.10628934825825492,0.23642693219983932,0.17060149219592033,0.18106183833642134
mae,Modelo_perturbado,1000,0.16809446793739283,0.061635172587092106,0.16622928826741246,0.13010205608409783,0.20396042149644272,0.16427428036207825,0.1719146555127074
mape,Nominal,1000,172.19443725805561,651.1420430416165,85.12971298127079,37.080425178087296,150.7453211149123,131.83623530644036,212.55263920967087
mape,Atraso,1000,280.86053344992797,1984.9757420151236,124.36932802410865,79.74881129566765,209.21971241691506,157.83046232889666,403.8906045709593
mape,Modelo_perturbado,1000,284.32173277963057,2222.0867596402422,121.05659288240764,82.44987516540766,192.0087290859664,146.59536852789145,422.0480970313697
dtw_cru,Nominal,1000,16.03748332374184,9.651850614047172,16.518742350466297,7.251661175730952,23.62536695184729,15.439255424850595,16.63571122263308
dtw_cru,Atraso,1000,17.06036436003635,10.729478267988547,17.478760329234177,7.3107096907083005,24.693561965011938,16.395344407166753,17.725384312905945
dtw_cru,Modelo_perturbado,1000,20.485912172255198,5.314503567524652,20.433035765224712,16.748035789116813,24.174501498060486,20.156515828488416,20.81530851602198
dtw_norm,Nominal,1000,0.0678225330406331,0.03998617763078313,0.0711864123434823,0.031953316881868005,0.09926274344563944,0.06534416407438104,0.07030090200688516
dtw_norm,Atraso,1000,0.06457261073072422,0.04038346817999558,0.06583191040016706,0.027791023621622973,0.09627146763394379,0.062069617441116096,0.06707560402033234
dtw_norm,Modelo_perturbado,1000,0.08203742543247099,0.02226950319429428,0.08101189293784675,0.06522632535184562,0.09769570757990109,0.08065714732436544,0.08341770354057654
frechet_xy,Nominal,1000,0.13751887377445635,0.07320183420156742,0.1509322835102476,0.0761864944635777,0.19583850937331276,0.1329817770848686,0.14205597046404408
frechet_xy,Atraso,1000,0.1366511275760697,0.07576889363052201,0.14796812322943265,0.06851370920552938,0.19608793324060245,0.13195492289466562,0.14134733225747378
frechet_xy,Modelo_perturbado,1000,0.15937485389398687,0.03692258254552365,0.16275257190963785,0.13700714941237163,0.18246124200314914,0.157086368518374,0.16166333926959975
edr_x,Nominal,1000,81.175,70.082750851882,63.0,13.0,142.0,76.83122609931176,85.51877390068823
edr_x,Atraso,1000,116.917,58.35513201452322,103.0,68.0,171.0,113.30011144561621,120.5338885543838
edr_x,Modelo_perturbado,1000,117.218,52.3715882827632,119.0,75.0,159.0,113.97197532837929,120.46402467162072
edr_y,Nominal,1000,79.82,72.02663004358482,60.0,11.0,145.0,75.3557432187688,84.28425678123119
edr_y,Atraso,1000,113.468,57.08242618686928,98.0,66.0,168.0,109.92999457006864,117.00600542993136
edr_y,Modelo_perturbado,1000,113.976,51.12483910168494,115.0,73.0,156.0,110.80724964320916,117.14475035679084
pearson_x,Nominal,1000,0.5104078973424154,0.4552748335050764,0.6832989022852027,0.0,0.970231201003608,0.4821896708119078,0.5386261238729231
pearson_x,Atraso,1000,0.32021631866058653,0.37172544139359764,0.2318151426214994,0.0,0.657547503280666,0.2971765371034965,0.34325610021767655
pearson_x,Modelo_perturbado,1000,0.44594853370267995,0.4328451271812178,0.5601542790744514,0.0,0.8869272903740637,0.419120514773121,0.4727765526322389
pearson_y,Nominal,1000,0.5162097629961127,0.46056483590980357,0.7111019156769998,0.0,0.975979035303336,0.48766365871964157,0.5447558672725837
pearson_y,Atraso,1000,0.3139605009910094,0.3667081212514386,0.1883205815488658,0.0,0.6420513047389053,0.29123169615814887,0.33668930582386997
pearson_y,Modelo_perturbado,1000,0.4216383247353747,0.44458425251162564,0.48346679255135483,0.0,0.8780565755075335,0.39408270727968336,0.44919394219106606
lag_x_ms,Nominal,1000,-85.05,1350.1803525768266,0.0,-50.0,50.0,-168.7350452565785,-1.3649547434214924
lag_x_ms,Atraso,1000,1619.1,1504.8869973771702,1500.0,850.0,2200.0,1525.8261375554794,1712.3738624445205
lag_x_ms,Modelo_perturbado,1000,384.0,1536.6897589999796,50.0,0.0,600.0,288.7549819682947,479.2450180317053
lag_y_ms,Nominal,1000,-36.35,1285.612296330615,0.0,-50.0,50.0,-116.03307566875185,43.33307566875185
lag_y_ms,Atraso,1000,1615.95,1315.978684248874,1550.0,900.0,2150.0,1534.3847961086235,1697.5152038913766
lag_y_ms,Modelo_perturbado,1000,420.5,1827.6652073369755,0.0,-12.5,550.0,307.22013683359694,533.7798631664031
