metric,scenario_a,scenario_b,cohens_d,cliffs_delta
epoch,Nominal,Atraso,0.0,0.0
epoch,Nominal,Modelo_perturbado,0.0,0.0
epoch,Atraso,Modelo_perturbado,0.0,0.0
mse,Nominal,Atraso,-0.37845397367864464,-0.277664
mse,Nominal,Modelo_perturbado,-0.2754880075033379,-0.224726
mse,Atraso,Modelo_perturbado,0.14553235360176023,0.061162
rmse,Nominal,Atraso,-0.5339924320638234,-0.277664
rmse,Nominal,Modelo_perturbado,-0.4978767227283207,-0.224726
rmse,Atraso,Modelo_perturbado,0.08289439310420053,0.061162
mae,Nominal,Atraso,-0.51435229672976,-0.297638
mae,Nominal,Modelo_perturbado,-0.48009062186082374,-0.263518
mae,Atraso,Modelo_perturbado,0.1047119625816903,0.038962
mape,Nominal,Atraso,-0.0735632634151467,-0.291502
mape,Nominal,Modelo_perturbado,-0.0684820718427315,-0.295684
mape,Atraso,Modelo_perturbado,-0.0016428161845748715,0.005392
dtw_cru,Nominal,Atraso,-0.10023431331494786,-0.044606
dtw_cru,Nominal,Modelo_perturbado,-0.5709636030307818,-0.270248
dtw_cru,Atraso,Modelo_perturbado,-0.4045968285703344,-0.20896
dtw_norm,Nominal,Atraso,0.08087338372828497,0.053164
dtw_norm,Nominal,Modelo_perturbado,-0.43922260367296917,-0.19236
dtw_norm,Atraso,Modelo_perturbado,-0.5355749066192254,-0.267872
frechet_xy,Nominal,Atraso,0.011648159407492174,0.0038
frechet_xy,Nominal,Modelo_perturbado,-0.3770013937466903,-0.136168
frechet_xy,Atraso,Modelo_perturbado,-0.38127373299530976,-0.132748
edr_x,Nominal,Atraso,-0.5542590060666337,-0.332252
edr_x,Nominal,Modelo_perturbado,-0.5826141868851552,-0.327172
edr_x,Atraso,Modelo_perturbado,-0.005428887803058042,-0.018789
edr_y,Nominal,Atraso,-0.5177767852739901,-0.320146
edr_y,Nominal,Modelo_perturbado,-0.5468781744536643,-0.31653
edr_y,Atraso,Modelo_perturbado,-0.009375189294359116,-0.021762
pearson_x,Nominal,Atraso,0.457625855355345,0.281984
pearson_x,Nominal,Modelo_perturbado,0.14511286608034785,0.133884
pearson_x,Atraso,Modelo_perturbado,-0.3116469744175392,-0.197004
pearson_y,Nominal,Atraso,0.4858373655222597,0.298718
pearson_y,Nominal,Modelo_perturbado,0.2089306693836,0.172996
pearson_y,Atraso,Modelo_perturbado,-0.26423309524350136,-0.166132
lag_x_ms,Nominal,Atraso,-1.1920234636988074,-0.83031
lag_x_ms,Nominal,Modelo_perturbado,-0.32427794852082215,-0.247929
lag_x_ms,Atraso,Modelo_perturbado,0.8121001630686077,0.666203
lag_y_ms,Nominal,Atraso,-1.2701362114368528,-0.832761
lag_y_ms,Nominal,Modelo_perturbado,-0.2891351723786863,-0.239322
lag_y_ms,Atraso,Modelo_perturbado,0.7506715237044189,0.647183
